# hA2018/hA2025 INTRANUKE pi+ FSI TGraph2D points (archival), extracted
# from hA_TGraphs_2D/TGraphs_{2018,2025}.root by scripts/extract_ha_tgraphs.py.
# model=2018: value = fate fraction(A, KE[MeV]).
# model=2025: value = log(cross section).
# The runtime table is ha_pion_fsi_weights_A40.csv.
model,graph,fate,A,KE,value
2018,TfracPipA_CEx,cex,209.0,250.0,0.400446
2018,TfracPipA_CEx,cex,209.0,300.0,0.417386
2018,TfracPipA_CEx,cex,209.0,350.0,0.429005
2018,TfracPipA_CEx,cex,209.0,400.0,0.215626
2018,TfracPipA_CEx,cex,209.0,450.0,0.0
2018,TfracPipA_CEx,cex,209.0,500.0,0.0
2018,TfracPipA_CEx,cex,209.0,550.0,0.0
2018,TfracPipA_CEx,cex,209.0,600.0,0.0
2018,TfracPipA_CEx,cex,209.0,650.0,0.0
2018,TfracPipA_CEx,cex,209.0,700.0,0.0
2018,TfracPipA_CEx,cex,209.0,750.0,0.0
2018,TfracPipA_CEx,cex,209.0,800.0,0.0
2018,TfracPipA_CEx,cex,209.0,850.0,0.0
2018,TfracPipA_CEx,cex,209.0,900.0,0.0
2018,TfracPipA_CEx,cex,209.0,950.0,0.0
2018,TfracPipA_CEx,cex,209.0,1000.0,0.0
2018,TfracPipA_CEx,cex,209.0,205.0,0.0646
2018,TfracPipA_Abs,abs,1.0,0.0,0.212717
2018,TfracPipA_Abs,abs,1.0,50.0,0.236405
2018,TfracPipA_Abs,abs,1.0,100.0,0.324947
2018,TfracPipA_Abs,abs,1.0,150.0,0.29751
2018,TfracPipA_Abs,abs,1.0,200.0,0.254892
2018,TfracPipA_Abs,abs,1.0,250.0,0.222797
2018,TfracPipA_Abs,abs,1.0,300.0,0.213938
2018,TfracPipA_Abs,abs,1.0,350.0,0.204243
2018,TfracPipA_Abs,abs,1.0,400.0,0.201362
2018,TfracPipA_Abs,abs,1.0,450.0,0.195107
2018,TfracPipA_Abs,abs,1.0,500.0,0.183453
2018,TfracPipA_Abs,abs,1.0,550.0,0.168089
2018,TfracPipA_Abs,abs,1.0,600.0,0.150035
2018,TfracPipA_Abs,abs,1.0,650.0,0.133776
2018,TfracPipA_Abs,abs,1.0,700.0,0.121903
2018,TfracPipA_Abs,abs,1.0,750.0,0.113672
2018,TfracPipA_Abs,abs,1.0,800.0,0.108236
2018,TfracPipA_Abs,abs,1.0,850.0,0.101737
2018,TfracPipA_Abs,abs,1.0,900.0,0.0964136
2018,TfracPipA_Abs,abs,1.0,950.0,0.091367
2018,TfracPipA_Abs,abs,1.0,1000.0,0.0882017
